Record ID,Date,INA,Hispanic or Latino,Not Hispanic or Latino
01012012,2012-01-01T00:00:00,25327,1355,41299
01012013,2013-01-01T00:00:00,11587,1648,52507
01012014,2014-01-01T00:00:00,8356,1684,50130
01012015,2015-01-01T00:00:00,9232,1928,38307
01012016,2016-01-01T00:00:00,7464,1762,32501
01012017,2017-01-01T00:00:00,5584,1676,30172
01012018,2018-01-01T00:00:00,6026,1632,29326
01012019,2019-01-01T00:00:00,5378,1562,23954
01012020,2020-01-01T00:00:00,5582,1188,22904
01012021,2021-01-01T00:00:00,8166,2577,45174
02012012,2012-02-01T00:00:00,19169,1530,43266
02012013,2013-02-01T00:00:00,9061,1605,46537
02012014,2014-02-01T00:00:00,8140,1709,50679
02012015,2015-02-01T00:00:00,9518,1896,35404
02012016,2016-02-01T00:00:00,6666,1919,33390
02012017,2017-02-01T00:00:00,5938,1490,27230
02012018,2018-02-01T00:00:00,5573,1464,25965
02012020,2020-02-01T00:00:00,4600,1146,21727
02012021,2021-02-01T00:00:00,9000,2860,49035
03012012,2012-03-01T00:00:00,14966,1314,39365
03012014,2014-03-01T00:00:00,6854,1251,39386
03012015,2015-03-01T00:00:00,7361,1588,30826
03012016,2016-03-01T00:00:00,5247,1345,24972
03012017,2017-03-01T00:00:00,5276,1281,23558
03012018,2018-03-01T00:00:00,4660,1133,20438
03012020,2020-03-01T00:00:00,3535,882,17826
04012012,2012-04-01T00:00:00,11370,1113,35459
04012013,2013-04-01T00:00:00,6328,1197,36438
04012014,2014-04-01T00:00:00,4756,921,31420
04012015,2015-04-01T00:00:00,6180,1135,22706
04012016,2016-04-01T00:00:00,3983,920,17305
04012017,2017-04-01T00:00:00,4185,952,18957
04012018,2018-04-01T00:00:00,3907,926,16995
04012020,2020-04-01T00:00:00,44365,11017,206263
04012021,2021-04-01T00:00:00,8951,2407,42457
05012012,2012-05-01T00:00:00,11196,1093,35148
05012013,2013-05-01T00:00:00,5867,953,33314
05012014,2014-05-01T00:00:00,4814,1000,29397
05012015,2015-05-01T00:00:00,5365,1030,21333
05012016,2016-05-01T00:00:00,5478,921,16470
05012017,2017-05-01T00:00:00,4093,960,18388
05012018,2018-05-01T00:00:00,5109,983,17478
05012020,2020-05-01T00:00:00,42996,11448,204834
05012021,2021-05-01T00:00:00,11166,2575,42840
06012012,2012-06-01T00:00:00,12263,1165,36732
